station_id,waveform_id,phase_time,phase_type,phase_score,phase_amplitude
QJ02,QJ.QJ02.20220823.090003,2022-08-23 09:13:19.990,P,0.33333333333333337,323.9976501464844
QJ02,QJ.QJ02.20220823.090003,2022-08-23 09:13:19.990,S,0.18803418803418812,323.9976501464844
QJ02,QJ.QJ02.20220823.090006,2022-08-23 09:22:47.800,P,0.004273504273504203,1066.8095703125
QJ02,QJ.QJ02.20220823.100009,2022-08-23 09:31:10.530,P,0.14529914529914542,1339.448486328125
QJ02,QJ.QJ02.20220823.100009,2022-08-23 09:31:11.940,S,0.1495726495726496,455.04730224609375
QJ02,QJ.QJ02.20220823.100010,2022-08-23 09:33:27.420,P,0.025641025641025716,2834.531005859375
QJ02,QJ.QJ02.20220823.100010,2022-08-23 09:33:29.550,S,0.04700854700854703,2834.531005859375
QJ02,QJ.QJ02.20220823.100011,2022-08-23 09:38:36.850,P,0.20512820512820523,465.2430114746094
QJ02,QJ.QJ02.20220823.100011,2022-08-23 09:38:48.950,S,0.04273504273504273,465.2430114746094
QJ02,QJ.QJ02.20220823.100012,2022-08-23 09:40:38.850,P,0.025641025641025716,392.845703125
QJ02,QJ.QJ02.20220823.100013,2022-08-23 09:45:22.270,P,0.07264957264957264,62.1243782043457
QJ02,QJ.QJ02.20220823.100017,2022-08-23 09:58:46.310,P,0.01282051282051281,1701.9375
QJ02,QJ.QJ02.20220823.100017,2022-08-23 09:56:54.980,S,0.025641025641025716,1626.630859375
QJ02,QJ.QJ02.20220823.100018,2022-08-23 10:00:07.030,P,0.07692307692307694,1063.8221435546875
QJ02,QJ.QJ02.20220823.100018,2022-08-23 10:01:48.400,S,0.004273504273504203,906.2213134765624
QJ02,QJ.QJ02.20220823.100019,2022-08-23 10:05:52.420,P,0.021367521367521413,192.29855346679688
QJ02,QJ.QJ02.20220823.100019,2022-08-23 10:05:03.400,S,0.04700854700854703,625.5159301757812
QJ02,QJ.QJ02.20220823.100020,2022-08-23 10:07:45.550,P,0.059829059829059845,970.118896484375
QJ02,QJ.QJ02.20220823.100020,2022-08-23 10:07:48.260,S,0.08547008547008556,970.118896484375
QJ02,QJ.QJ02.20220823.100021,2022-08-23 10:10:02.440,P,0.13247863247863248,99.88459014892578
QJ02,QJ.QJ02.20220823.100021,2022-08-23 10:10:04.700,S,0.01282051282051281,99.88459014892578
QJ02,QJ.QJ02.20220823.100022,2022-08-23 10:15:08.870,P,0.19658119658119674,212.03665161132807
QJ02,QJ.QJ02.20220823.100022,2022-08-23 10:15:20.340,S,0.01709401709401711,212.03665161132807
QJ02,QJ.QJ02.20220823.100023,2022-08-23 10:17:12.770,P,0.15811965811965822,1742.9915771484375
QJ02,QJ.QJ02.20220823.100023,2022-08-23 10:17:53.490,S,0.025641025641025716,1477.259765625
QJ02,QJ.QJ02.20220823.100024,2022-08-23 10:22:14.680,P,0.059829059829059845,1194.51611328125
QJ02,QJ.QJ02.20220823.100024,2022-08-23 10:22:15.980,S,0.10256410256410267,877.5247192382812
QJ02,QJ.QJ02.20220823.110025,2022-08-23 10:23:47.690,P,0.15811965811965822,793.4669799804688
QJ02,QJ.QJ02.20220823.110025,2022-08-23 10:26:31.060,S,0.11965811965811979,1830.3134765625
QJ02,QJ.QJ02.20220823.110027,2022-08-23 10:32:17.650,P,0.01709401709401711,718.3027954101562
QJ02,QJ.QJ02.20220823.110027,2022-08-23 10:32:19.100,S,0.09401709401709406,718.3027954101562
QJ02,QJ.QJ02.20220823.110028,2022-08-23 10:35:57.410,P,0.08547008547008556,1327.9375
QJ02,QJ.QJ02.20220823.110028,2022-08-23 10:35:58.580,S,0.1410256410256411,780.8984985351562
QJ02,QJ.QJ02.20220823.110029,2022-08-23 10:37:19.540,P,0.03846153846153842,2220.46044921875
QJ02,QJ.QJ02.20220823.110029,2022-08-23 10:37:23.760,S,0.10683760683760687,2220.46044921875
QJ02,QJ.QJ02.20220823.110030,2022-08-23 10:40:24.360,S,0.1367521367521369,124.1961669921875
QJ02,QJ.QJ02.20220823.110031,2022-08-23 10:46:39.990,P,0.08547008547008556,81.48066711425781
QJ02,QJ.QJ02.20220823.110031,2022-08-23 10:46:04.210,S,0.07692307692307694,356.3466491699219
QJ02,QJ.QJ02.20220823.110032,2022-08-23 10:47:22.060,S,0.15811965811965822,3235.102783203125
QJ02,QJ.QJ02.20220823.110033,2022-08-23 10:50:34.230,P,0.20085470085470092,2401.087158203125
QJ02,QJ.QJ02.20220823.110033,2022-08-23 10:50:35.680,S,0.1837606837606839,2401.087158203125
QJ02,QJ.QJ02.20220823.110034,2022-08-23 10:55:40.110,P,0.021367521367521413,2659.804931640625
QJ02,QJ.QJ02.20220823.110037,2022-08-23 11:06:39.990,P,0.24358974358974358,497.8603210449219
QJ02,QJ.QJ02.20220823.110037,2022-08-23 11:06:39.990,S,0.15811965811965822,497.8603210449219
QJ02,QJ.QJ02.20220823.110039,2022-08-23 11:10:52.170,P,0.008547008547008605,1069.490966796875
QJ02,QJ.QJ02.20220823.110039,2022-08-23 11:10:52.240,S,0.01282051282051281,1069.490966796875
QJ02,QJ.QJ02.20220823.110040,2022-08-23 11:15:55.380,P,0.10683760683760687,489.1495666503906
QJ02,QJ.QJ02.20220823.110040,2022-08-23 11:16:12.940,S,0.004273504273504203,660.0578002929688
QJ02,QJ.QJ02.20220823.110042,2022-08-23 11:21:21.140,P,0.07692307692307694,849.7557373046875
QJ02,QJ.QJ02.20220823.110042,2022-08-23 11:21:21.600,S,0.01282051282051281,652.2554931640625
QJ02,QJ.QJ02.20220823.120043,2022-08-23 11:26:16.020,P,0.06837606837606844,1405.7769775390625
QJ02,QJ.QJ02.20220823.120043,2022-08-23 11:26:17.400,S,0.11965811965811979,1405.7769775390625
QJ02,QJ.QJ02.20220823.120044,2022-08-23 11:29:47.530,P,0.07692307692307694,1351.0711669921875
QJ02,QJ.QJ02.20220823.120044,2022-08-23 11:29:49.180,S,0.1410256410256411,177.27638244628906
QJ02,QJ.QJ02.20220823.120046,2022-08-23 11:36:23.300,P,0.03418803418803422,132.18197631835938
QJ02,QJ.QJ02.20220823.120046,2022-08-23 11:33:59.500,S,0.07264957264957264,161.8771514892578
QJ02,QJ.QJ02.20220823.120047,2022-08-23 11:39:33.880,P,0.1282051282051283,137.43528747558594
QJ02,QJ.QJ02.20220823.120047,2022-08-23 11:38:26.490,S,0.03418803418803422,317.1441650390625
QJ02,QJ.QJ02.20220823.120048,2022-08-23 11:41:06.600,P,0.20940170940170946,1244.976318359375
QJ02,QJ.QJ02.20220823.120048,2022-08-23 11:41:08.740,S,0.1538461538461539,1244.976318359375
QJ02,QJ.QJ02.20220823.120049,2022-08-23 11:44:05.310,P,0.07692307692307694,135.96900939941406
QJ02,QJ.QJ02.20220823.120049,2022-08-23 11:45:11.760,S,0.025641025641025716,41.1065673828125
QJ02,QJ.QJ02.20220823.120050,2022-08-23 11:48:00.030,P,0.10683760683760687,247.5760040283203
QJ02,QJ.QJ02.20220823.120050,2022-08-23 11:47:02.880,S,0.03846153846153842,352.8959045410156
QJ02,QJ.QJ02.20220823.120051,2022-08-23 11:52:53.570,P,0.09829059829059837,160.5585479736328
QJ02,QJ.QJ02.20220823.120051,2022-08-23 11:52:58.280,S,0.1837606837606839,227.7423553466797
QJ02,QJ.QJ02.20220823.120052,2022-08-23 11:54:05.280,P,0.06837606837606844,511.402099609375
QJ02,QJ.QJ02.20220823.120052,2022-08-23 11:54:09.460,S,0.13247863247863248,555.0792846679688
QJ02,QJ.QJ02.20220823.120054,2022-08-23 12:00:03.120,P,0.3205128205128205,799.4102783203125
QJ02,QJ.QJ02.20220823.120054,2022-08-23 12:00:04.600,S,0.11965811965811979,799.4102783203125
QJ02,QJ.QJ02.20220823.120056,2022-08-23 12:08:33.000,P,0.14529914529914542,563.56298828125
QJ02,QJ.QJ02.20220823.120056,2022-08-23 12:09:30.640,S,0.09829059829059837,2780.767578125
QJ02,QJ.QJ02.20220823.120057,2022-08-23 12:12:45.570,P,0.23076923076923087,1408.0628662109375
QJ02,QJ.QJ02.20220823.120057,2022-08-23 12:10:06.790,S,0.059829059829059845,157.76551818847656
QJ02,QJ.QJ02.20220823.120058,2022-08-23 12:14:35.220,P,0.13247863247863248,149.7724609375
QJ02,QJ.QJ02.20220823.120058,2022-08-23 12:15:27.780,S,0.03418803418803422,117.99356842041016
QJ02,QJ.QJ02.20220823.120060,2022-08-23 12:23:19.990,P,0.13247863247863248,21.490243911743164
QJ02,QJ.QJ02.20220823.120060,2022-08-23 12:22:56.160,S,0.1666666666666667,180.5858612060547
QJ02,QJ.QJ02.20220823.130062,2022-08-23 12:26:56.370,P,0.20512820512820523,47.26627731323242
QJ02,QJ.QJ02.20220823.130062,2022-08-23 12:28:12.570,S,0.1495726495726496,68.0048828125
QJ02,QJ.QJ02.20220823.130064,2022-08-23 12:34:14.420,P,0.04273504273504273,822.7342529296875
QJ02,QJ.QJ02.20220823.130064,2022-08-23 12:34:15.720,S,0.1837606837606839,822.7342529296875
QJ02,QJ.QJ02.20220823.130065,2022-08-23 12:37:09.450,P,0.16239316239316254,301.3107604980469
QJ02,QJ.QJ02.20220823.130065,2022-08-23 12:38:07.920,S,0.1367521367521369,143.85916137695312
QJ02,QJ.QJ02.20220823.130068,2022-08-23 12:47:42.460,S,0.021367521367521413,58.97383499145508
QJ02,QJ.QJ02.20220823.130069,2022-08-23 12:52:10.750,S,0.11965811965811979,167.79226684570312
QJ02,QJ.QJ02.20220823.130070,2022-08-23 12:56:23.160,S,0.008547008547008605,1346.9696044921875
QJ02,QJ.QJ02.20220823.130071,2022-08-23 12:58:35.500,S,0.01709401709401711,113.41175079345705
QJ02,QJ.QJ02.20220823.130072,2022-08-23 13:00:28.100,P,0.055555555555555636,166.5052032470703
QJ02,QJ.QJ02.20220823.130072,2022-08-23 13:00:30.860,S,0.1239316239316241,166.5052032470703
QJ02,QJ.QJ02.20220823.130073,2022-08-23 13:04:04.830,P,0.15811965811965822,332.2640991210937
QJ02,QJ.QJ02.20220823.130073,2022-08-23 13:05:32.740,S,0.055555555555555636,118.854736328125
QJ02,QJ.QJ02.20220823.130074,2022-08-23 13:07:32.080,P,0.06837606837606844,213.3936920166016
QJ02,QJ.QJ02.20220823.130074,2022-08-23 13:07:33.560,S,0.07264957264957264,124.22271728515624
QJ02,QJ.QJ02.20220823.130075,2022-08-23 13:10:32.370,S,0.14529914529914542,304.9053649902344
QJ02,QJ.QJ02.20220823.130076,2022-08-23 13:14:51.470,P,0.08547008547008556,829.6572265625
QJ02,QJ.QJ02.20220823.130076,2022-08-23 13:14:52.560,S,0.1367521367521369,773.4056396484375
QJ02,QJ.QJ02.20220823.130077,2022-08-23 13:17:06.600,P,0.10256410256410267,1232.7020263671875
QJ02,QJ.QJ02.20220823.130077,2022-08-23 13:17:08.640,S,0.11538461538461538,1232.7020263671875
QJ02,QJ.QJ02.20220823.130078,2022-08-23 13:22:34.700,P,0.23931623931623947,309.3756408691406
QJ02,QJ.QJ02.20220823.130078,2022-08-23 13:21:33.090,S,0.021367521367521413,256.3311462402344
QJ02,QJ.QJ02.20220823.140079,2022-08-23 13:26:39.990,P,0.10683760683760687,16.712688446044922
QJ02,QJ.QJ02.20220823.140079,2022-08-23 13:26:39.990,S,0.07264957264957264,16.712688446044922
QJ02,QJ.QJ02.20220823.140081,2022-08-23 13:31:47.530,P,0.10683760683760687,135.84693908691406
QJ02,QJ.QJ02.20220823.140081,2022-08-23 13:31:48.700,S,0.004273504273504203,135.84693908691406
QJ02,QJ.QJ02.20220823.140082,2022-08-23 13:34:33.240,S,0.021367521367521413,68.30620574951172
QJ02,QJ.QJ02.20220823.140083,2022-08-23 13:37:53.090,P,0.1837606837606839,255.82598876953125
