year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude,time
2022,1,1,0,24,25.9,29.521,104.432,5,ML,0.5,2022-01-01 00:24:25.900
2022,1,1,0,29,46.99,23.706,102.439,10,ML,0.9,2022-01-01 00:29:46.990
2022,1,1,0,42,36.24,23.707,102.485,12,ML,-0.1,2022-01-01 00:42:36.240
2022,1,1,1,18,54.14,26.867,102.882,6,ML,1.2,2022-01-01 01:18:54.140
2022,1,1,1,48,39.57,28.188,104.949,6,ML,1.6,2022-01-01 01:48:39.570
2022,1,1,2,4,38.38,28.094,104.974,6,ML,1.0,2022-01-01 02:04:38.380
2022,1,1,2,36,40.48,23.512,103.971,6,ML,2.0,2022-01-01 02:36:40.480
2022,1,1,3,21,30.94,29.065,105.575,10,ML,0.7,2022-01-01 03:21:30.940
2022,1,1,3,48,33.26,28.106,105.094,6,ML,1.2,2022-01-01 03:48:33.260
2022,1,1,4,1,13.43,25.564,100.054,7,ML,0.3,2022-01-01 04:01:13.430
2022,1,1,4,29,55.03,25.555,101.752,11,ML,1.1,2022-01-01 04:29:55.030
2022,1,1,4,56,17.53,27.116,102.865,10,ML,1.2,2022-01-01 04:56:17.530
2022,1,1,5,9,4.59,23.673,102.327,11,ML,-0.2,2022-01-01 05:09:04.590
2022,1,1,5,11,56.29,28.449,104.83,12,ML,0.6,2022-01-01 05:11:56.290
2022,1,1,5,41,7.11,23.497,102.504,15,ML,-0.6,2022-01-01 05:41:07.110
2022,1,1,6,7,27.33,28.017,104.954,5,ML,1.7,2022-01-01 06:07:27.330
2022,1,1,7,8,20.44,23.5,102.467,6,ML,-0.2,2022-01-01 07:08:20.440
2022,1,1,7,55,33.17,29.236,105.322,10,ML,0.6,2022-01-01 07:55:33.170
2022,1,1,8,26,11.09,28.205,105.047,6,ML,1.7,2022-01-01 08:26:11.090
2022,1,1,9,17,30.29,23.508,102.481,13,ML,0.4,2022-01-01 09:17:30.290
2022,1,1,9,59,52.08,29.644,101.98,8,ML,1.9,2022-01-01 09:59:52.080
2022,1,1,11,27,4.61,28.236,104.762,17,ML,0.7,2022-01-01 11:27:04.610
2022,1,1,11,43,29.14,24.804,102.423,6,ML,0.4,2022-01-01 11:43:29.140
2022,1,1,11,55,30.16,29.33,105.751,18,ML,1.4,2022-01-01 11:55:30.160
2022,1,1,12,28,54.22,23.322,103.008,6,ML,1.6,2022-01-01 12:28:54.220
2022,1,1,12,56,36.75,28.382,104.777,5,ML,1.5,2022-01-01 12:56:36.750
2022,1,1,14,12,43.69,29.635,104.695,6,ML,1.5,2022-01-01 14:12:43.690
2022,1,1,15,48,38.34,25.621,106.147,23,ML,1.8,2022-01-01 15:48:38.340
2022,1,1,16,8,6.82,28.071,104.345,8,ML,0.6,2022-01-01 16:08:06.820
2022,1,1,16,19,44.65,27.128,103.166,6,ML,2.2,2022-01-01 16:19:44.650
2022,1,1,17,23,14.91,29.456,104.851,16,ML,1.5,2022-01-01 17:23:14.910
2022,1,1,18,38,21.43,29.706,104.691,10,ML,1.1,2022-01-01 18:38:21.430
2022,1,1,18,54,44.46,28.459,102.011,8,ML,1.8,2022-01-01 18:54:44.460
2022,1,1,18,57,7.39,27.081,100.213,8,ML,1.2,2022-01-01 18:57:07.390
2022,1,1,20,30,23.14,28.138,105.05,10,ML,1.0,2022-01-01 20:30:23.140
2022,1,1,20,30,33.73,29.459,104.487,2,ML,0.9,2022-01-01 20:30:33.730
2022,1,1,21,4,52.45,23.572,102.564,10,ML,0.5,2022-01-01 21:04:52.450
2022,1,1,22,44,46.21,28.22,105.091,16,ML,1.3,2022-01-01 22:44:46.210
2022,1,1,23,5,2.47,28.315,104.966,7,ML,0.6,2022-01-01 23:05:02.470
2022,1,1,23,32,49.07,25.445,105.201,0,ML,1.3,2022-01-01 23:32:49.070
2022,1,2,0,18,56.01,28.402,104.59,13,ML,0.9,2022-01-02 00:18:56.010
2022,1,2,0,20,38.97,28.261,105.074,13,ML,1.2,2022-01-02 00:20:38.970
2022,1,2,0,28,41.38,29.112,105.432,10,ML,1.1,2022-01-02 00:28:41.380
2022,1,2,2,44,58.67,27.116,102.845,9,ML,1.4,2022-01-02 02:44:58.670
2022,1,2,3,52,17.93,23.301,103.221,9,ML,1.1,2022-01-02 03:52:17.930
2022,1,2,4,14,19.61,26.101,101.873,12,ML,1.1,2022-01-02 04:14:19.610
2022,1,2,4,31,25.41,28.15,104.99,21,ML,0.1,2022-01-02 04:31:25.410
2022,1,2,4,42,5.48,29.349,104.544,4,ML,1.5,2022-01-02 04:42:05.480
2022,1,2,4,58,24.92,29.105,102.145,13,ML,0.6,2022-01-02 04:58:24.920
2022,1,2,6,5,37.33,28.433,104.813,4,ML,2.1,2022-01-02 06:05:37.330
2022,1,2,8,4,2.39,24.655,102.876,14,ML,1.7,2022-01-02 08:04:02.390
2022,1,2,9,22,52.72,29.526,101.942,10,ML,1.4,2022-01-02 09:22:52.720
2022,1,2,10,5,9.76,28.182,105.048,4,ML,2.5,2022-01-02 10:05:09.760
2022,1,2,10,34,10.79,28.175,105.041,4,ML,2.2,2022-01-02 10:34:10.790
2022,1,2,13,56,21.55,28.392,104.97,6,ML,1.1,2022-01-02 13:56:21.550
2022,1,2,14,7,16.87,27.058,100.332,6,ML,1.5,2022-01-02 14:07:16.870
2022,1,2,14,12,35.97,27.72,104.887,6,ML,1.4,2022-01-02 14:12:35.970
2022,1,2,15,8,39.89,26.731,100.648,15,ML,1.6,2022-01-02 15:08:39.890
2022,1,2,15,12,17.17,27.778,100.598,8,ML,2.2,2022-01-02 15:12:17.170
2022,1,2,15,21,40.82,27.805,100.619,6,ML,1.2,2022-01-02 15:21:40.820
2022,1,2,15,29,0.17,26.707,100.773,11,ML,1.6,2022-01-02 15:29:00.170
2022,1,2,15,30,30.49,27.824,100.646,12,ML,2.8,2022-01-02 15:30:30.490
2022,1,2,15,37,35.12,26.043,100.089,17,ML,1.1,2022-01-02 15:37:35.120
2022,1,2,16,29,2.34,27.802,100.675,14,ML,3.1,2022-01-02 16:29:02.340
2022,1,2,16,56,46.86,27.803,100.589,7,ML,1.8,2022-01-02 16:56:46.860
2022,1,2,20,19,47.84,27.825,100.591,14,ML,1.9,2022-01-02 20:19:47.840
2022,1,2,21,7,52.05,28.383,104.842,7,ML,1.1,2022-01-02 21:07:52.050
2022,1,2,21,25,57.42,28.396,104.819,2,ML,0.7,2022-01-02 21:25:57.420
2022,1,2,21,27,15.89,27.824,100.653,9,ML,1.8,2022-01-02 21:27:15.890
2022,1,2,22,34,46.63,27.303,104.801,0,ML,1.2,2022-01-02 22:34:46.630
2022,1,3,1,50,30.81,29.342,101.152,16,ML,2.2,2022-01-03 01:50:30.810
2022,1,3,2,2,12.9,29.303,101.168,17,ML,1.1,2022-01-03 02:02:12.900
2022,1,3,2,17,57.51,27.193,103.274,13,ML,2.1,2022-01-03 02:17:57.510
2022,1,3,2,42,50.75,28.156,104.747,5,ML,1.3,2022-01-03 02:42:50.750
2022,1,3,2,47,55.89,27.119,102.864,18,ML,1.8,2022-01-03 02:47:55.890
2022,1,3,2,53,42.41,29.537,102.018,12,ML,1.0,2022-01-03 02:53:42.410
2022,1,3,3,14,31.15,28.172,105.052,18,ML,0.7,2022-01-03 03:14:31.150
2022,1,3,3,15,2.82,28.219,105.037,6,ML,0.8,2022-01-03 03:15:02.820
2022,1,3,4,7,36.96,29.466,104.83,4,ML,1.5,2022-01-03 04:07:36.960
2022,1,3,5,2,40.23,27.125,102.865,1,ML,1.2,2022-01-03 05:02:40.230
2022,1,3,5,9,57.71,29.236,105.461,2,ML,0.5,2022-01-03 05:09:57.710
2022,1,3,6,3,16.65,28.158,104.759,4,ML,0.5,2022-01-03 06:03:16.650
2022,1,3,6,10,3.25,27.115,102.855,11,ML,1.8,2022-01-03 06:10:03.250
2022,1,3,6,29,45.74,28.252,105.069,12,ML,0.7,2022-01-03 06:29:45.740
2022,1,3,8,2,26.92,29.974,101.988,9,ML,1.4,2022-01-03 08:02:26.920
2022,1,3,9,16,31.84,28.201,105.063,11,ML,1.5,2022-01-03 09:16:31.840
2022,1,3,10,25,23.17,28.173,104.797,7,ML,1.5,2022-01-03 10:25:23.170
2022,1,3,10,49,14.58,28.174,105.044,10,ML,0.5,2022-01-03 10:49:14.580
2022,1,3,11,27,43.89,29.402,104.726,12,ML,1.1,2022-01-03 11:27:43.890
2022,1,3,11,28,1.77,29.301,105.826,5,ML,1.4,2022-01-03 11:28:01.770
2022,1,3,11,46,10.47,28.158,105.04,13,ML,0.5,2022-01-03 11:46:10.470
2022,1,3,11,58,33.52,29.335,105.922,5,ML,1.4,2022-01-03 11:58:33.520
2022,1,3,12,1,46.92,28.105,105.146,9,ML,1.5,2022-01-03 12:01:46.920
2022,1,3,12,15,43.57,27.114,102.847,11,ML,1.9,2022-01-03 12:15:43.570
2022,1,3,13,1,11.54,28.391,104.83,4,ML,1.2,2022-01-03 13:01:11.540
2022,1,3,13,10,20.57,27.846,100.647,6,ML,1.5,2022-01-03 13:10:20.570
2022,1,3,13,12,25.22,27.838,100.758,10,ML,0.8,2022-01-03 13:12:25.220
2022,1,3,13,56,5.32,28.211,104.736,15,ML,0.6,2022-01-03 13:56:05.320
2022,1,3,13,58,47.63,27.792,100.609,7,ML,0.7,2022-01-03 13:58:47.630
2022,1,3,13,59,0.48,27.805,100.604,8,ML,0.9,2022-01-03 13:59:00.480
2022,1,3,14,22,19.12,27.832,100.585,10,ML,1.0,2022-01-03 14:22:19.120
2022,1,3,14,41,51.01,27.841,100.592,10,ML,1.8,2022-01-03 14:41:51.010
2022,1,3,14,51,14.95,27.866,100.641,8,ML,1.2,2022-01-03 14:51:14.950
2022,1,3,15,6,11.91,27.849,100.625,7,ML,1.6,2022-01-03 15:06:11.910
2022,1,3,15,37,44.49,29.537,104.444,6,ML,1.2,2022-01-03 15:37:44.490
2022,1,3,16,12,56.52,27.843,100.651,6,ML,1.1,2022-01-03 16:12:56.520
2022,1,3,17,8,58.84,27.886,100.543,6,ML,1.1,2022-01-03 17:08:58.840
2022,1,3,17,16,54.61,27.826,100.57,6,ML,0.7,2022-01-03 17:16:54.610
2022,1,3,17,19,30.12,24.364,101.977,28,ML,1.5,2022-01-03 17:19:30.120
2022,1,3,17,36,18.72,27.111,102.855,16,ML,2.4,2022-01-03 17:36:18.720
2022,1,3,17,39,5.99,28.178,105.046,14,ML,0.5,2022-01-03 17:39:05.990
2022,1,3,17,42,47.93,29.524,104.435,6,ML,1.5,2022-01-03 17:42:47.930
2022,1,3,18,19,49.59,27.832,100.652,7,ML,0.6,2022-01-03 18:19:49.590
2022,1,3,18,26,24.56,27.826,100.658,6,ML,0.3,2022-01-03 18:26:24.560
2022,1,3,19,16,58.3,27.848,100.626,9,ML,0.2,2022-01-03 19:16:58.300
2022,1,3,19,20,11.86,27.844,100.644,7,ML,0.3,2022-01-03 19:20:11.860
2022,1,3,19,31,12.02,27.837,100.652,7,ML,0.8,2022-01-03 19:31:12.020
2022,1,3,19,34,42.81,27.875,100.576,1,ML,0.5,2022-01-03 19:34:42.810
2022,1,3,19,46,22.18,27.853,100.591,1,ML,0.4,2022-01-03 19:46:22.180
2022,1,3,19,51,23.32,27.854,100.56,6,ML,1.1,2022-01-03 19:51:23.320
2022,1,3,19,54,29.12,27.852,100.568,6,ML,1.2,2022-01-03 19:54:29.120
2022,1,3,19,57,45.05,27.81,100.561,10,ML,1.1,2022-01-03 19:57:45.050
2022,1,3,19,57,57.73,28.176,105.059,16,ML,0.8,2022-01-03 19:57:57.730
2022,1,3,20,0,11.83,27.84,100.65,6,ML,0.5,2022-01-03 20:00:11.830
2022,1,3,20,3,57.0,28.174,105.044,15,ML,1.0,2022-01-03 20:03:57.000
