序号,发震时刻(国际时),经度(°),纬度(°),震源深度(Km),Ms,地点
1,2009-07-09 11:19:14,101.03,25.60,6,6.3,中国云南省
2,2008-08-30 08:30:52,102.06,26.30,19,6.3,中国四川省
3,2003-07-21 15:16:31,101.27,25.99,10,6.3,中国云南省
4,2000-01-14 23:37:07,101.19,25.59,32,6.4,中国云南省
5,1998-11-19 11:38:13,101.03,27.27,33,6.1,中国四川省
6,1995-10-23 22:46:50,102.24,26.02,10,6.6,中国四川省
7,1985-04-18 05:52:52,102.93,25.89,5,6.2,中国云南省
8,1976-12-13 06:36:57,101.00,27.40,21,6.4,中国四川省
9,1976-11-06 18:04:05,101.10,27.60,21,6.7,中国四川省
10,1974-05-10 19:25:18,104.10,28.20,14,7.1,中国四川省
1,2019-6-17 22:55:43,104.96,28.34,8,6.0,四川长宁
2,2014-8-03 16:30:12,103.33,27.11,10,6.6,云南鲁甸

